Title,URL,Primary,Secondary
Covid-19 Time Off Policy,https://policies.sample.com/Covid-19 Time Off Policy,True,False
What to do if you have Covid-19,https://policies.sample.com/What to do if you have Covid-19,False,True
Time-Off for Covid-19 Illness,https://policies.sample.com/Time-Off for Covid-19 Illness,False,True
Remote Work Policy,https://policies.sample.com/Remote Work Policy,True,False
Working from Home Guidelines,https://policies.sample.com/Working from Home Guidelines,False,True
Remote Work Expectations and Rules,https://policies.sample.com/Remote Work Expectations and Rules,False,True
Hybrid Work Guidelines,https://policies.sample.com/Hybrid Work Guidelines,True,False
Hybrid Schedule Standards,https://policies.sample.com/Hybrid Schedule Standards,False,True
Flexible Office and Home Work Guide,https://policies.sample.com/Flexible Office and Home Work Guide,False,True
Business Travel Policy,https://policies.sample.com/Business Travel Policy,True,False
Travel Booking and Approval Guide,https://policies.sample.com/Travel Booking and Approval Guide,False,True
Travel Rules and Reimbursement Procedure,https://policies.sample.com/Travel Rules and Reimbursement Procedure,False,True
Expense Reimbursement Policy,https://policies.sample.com/Expense Reimbursement Policy,True,False
How to Submit Expenses,https://policies.sample.com/How to Submit Expenses,False,True
Expense Receipt and Approval Guidelines,https://policies.sample.com/Expense Receipt and Approval Guidelines,False,True
Corporate Credit Card Policy,https://policies.sample.com/Corporate Credit Card Policy,True,False
Company Card Usage Rules,https://policies.sample.com/Company Card Usage Rules,False,True
Card Reconciliation and Limits Guide,https://policies.sample.com/Card Reconciliation and Limits Guide,False,True
Timekeeping and Attendance Policy,https://policies.sample.com/Timekeeping and Attendance Policy,True,False
Recording Time and Attendance Guide,https://policies.sample.com/Recording Time and Attendance Guide,False,True
Attendance Expectations and Procedures,https://policies.sample.com/Attendance Expectations and Procedures,False,True
Paid Time Off Policy,https://policies.sample.com/Paid Time Off Policy,True,False
PTO Request and Approval Guide,https://policies.sample.com/PTO Request and Approval Guide,False,True
Vacation and Sick Leave Rules,https://policies.sample.com/Vacation and Sick Leave Rules,False,True
Family and Medical Leave Policy,https://policies.sample.com/Family and Medical Leave Policy,True,False
FMLA Leave Guidelines,https://policies.sample.com/FMLA Leave Guidelines,False,True
Parental and Caregiver Leave Guide,https://policies.sample.com/Parental and Caregiver Leave Guide,False,True
Overtime and Compensation Policy,https://policies.sample.com/Overtime and Compensation Policy,True,False
Overtime Eligibility and Approval Guide,https://policies.sample.com/Overtime Eligibility and Approval Guide,False,True
After Hours Work and Pay Rules,https://policies.sample.com/After Hours Work and Pay Rules,False,True
Employee Code of Conduct,https://policies.sample.com/Employee Code of Conduct,True,False
Standards of Behavior Guide,https://policies.sample.com/Standards of Behavior Guide,False,True
Workplace Ethics and Conduct,https://policies.sample.com/Workplace Ethics and Conduct,False,True
Anti Harassment Policy,https://policies.sample.com/Anti Harassment Policy,True,False
Preventing Harassment and Bullying,https://policies.sample.com/Preventing Harassment and Bullying,False,True
Reporting Harassment Procedures,https://policies.sample.com/Reporting Harassment Procedures,False,True
Equal Employment Opportunity Policy,https://policies.sample.com/Equal Employment Opportunity Policy,True,False
EEO Guidelines and Practices,https://policies.sample.com/EEO Guidelines and Practices,False,True
Non Discrimination Standards,https://policies.sample.com/Non Discrimination Standards,False,True
Diversity and Inclusion Policy,https://policies.sample.com/Diversity and Inclusion Policy,True,False
Building an Inclusive Workplace,https://policies.sample.com/Building an Inclusive Workplace,False,True
Inclusion and Belonging Guidelines,https://policies.sample.com/Inclusion and Belonging Guidelines,False,True
Workplace Accommodations Policy,https://policies.sample.com/Workplace Accommodations Policy,True,False
Requesting Reasonable Accommodations,https://policies.sample.com/Requesting Reasonable Accommodations,False,True
ADA Accommodation Procedures,https://policies.sample.com/ADA Accommodation Procedures,False,True
Dress Code Policy,https://policies.sample.com/Dress Code Policy,True,False
Work Attire Guidelines,https://policies.sample.com/Work Attire Guidelines,False,True
Professional Appearance Standards,https://policies.sample.com/Professional Appearance Standards,False,True
Workplace Violence Prevention Policy,https://policies.sample.com/Workplace Violence Prevention Policy,True,False
Violence Prevention and Reporting,https://policies.sample.com/Violence Prevention and Reporting,False,True
Safety and Threat Response Guide,https://policies.sample.com/Safety and Threat Response Guide,False,True
Drug and Alcohol Free Workplace Policy,https://policies.sample.com/Drug and Alcohol Free Workplace Policy,True,False
Substance Use and Testing Guidelines,https://policies.sample.com/Substance Use and Testing Guidelines,False,True
Alcohol and Drug Rules at Work,https://policies.sample.com/Alcohol and Drug Rules at Work,False,True
Confidentiality and Non Disclosure Policy,https://policies.sample.com/Confidentiality and Non Disclosure Policy,True,False
Protecting Company Confidential Information,https://policies.sample.com/Protecting Company Confidential Information,False,True
NDA Usage and Responsibilities,https://policies.sample.com/NDA Usage and Responsibilities,False,True
Conflict of Interest Policy,https://policies.sample.com/Conflict of Interest Policy,True,False
Identifying and Disclosing Conflicts,https://policies.sample.com/Identifying and Disclosing Conflicts,False,True
Personal and Business Conflict Rules,https://policies.sample.com/Personal and Business Conflict Rules,False,True
Gifts and Hospitality Policy,https://policies.sample.com/Gifts and Hospitality Policy,True,False
Gifts Entertainment and Meals Guidance,https://policies.sample.com/Gifts Entertainment and Meals Guidance,False,True
Accepting and Offering Gifts Rules,https://policies.sample.com/Accepting and Offering Gifts Rules,False,True
Anti Bribery and Corruption Policy,https://policies.sample.com/Anti Bribery and Corruption Policy,True,False
Preventing Bribery Guidelines,https://policies.sample.com/Preventing Bribery Guidelines,False,True
Corruption Reporting and Controls,https://policies.sample.com/Corruption Reporting and Controls,False,True
Whistleblower and Non Retaliation Policy,https://policies.sample.com/Whistleblower and Non Retaliation Policy,True,False
Speak Up and Report Concerns Guide,https://policies.sample.com/Speak Up and Report Concerns Guide,False,True
Non Retaliation Standards,https://policies.sample.com/Non Retaliation Standards,False,True
Grievance and Complaint Procedure,https://policies.sample.com/Grievance and Complaint Procedure,True,False
How to File a Workplace Complaint,https://policies.sample.com/How to File a Workplace Complaint,False,True
Issue Resolution and Mediation Guide,https://policies.sample.com/Issue Resolution and Mediation Guide,False,True
Performance Review Policy,https://policies.sample.com/Performance Review Policy,True,False
Performance Feedback and Ratings Guide,https://policies.sample.com/Performance Feedback and Ratings Guide,False,True
Annual Review Process Overview,https://policies.sample.com/Annual Review Process Overview,False,True
Promotion and Advancement Policy,https://policies.sample.com/Promotion and Advancement Policy,True,False
Criteria for Promotions Guide,https://policies.sample.com/Criteria for Promotions Guide,False,True
Career Progression Standards,https://policies.sample.com/Career Progression Standards,False,True
Disciplinary Action Policy,https://policies.sample.com/Disciplinary Action Policy,True,False
Progressive Discipline Guidelines,https://policies.sample.com/Progressive Discipline Guidelines,False,True
Corrective Action Procedures,https://policies.sample.com/Corrective Action Procedures,False,True
Employee Onboarding Policy,https://policies.sample.com/Employee Onboarding Policy,True,False
New Hire Orientation Guide,https://policies.sample.com/New Hire Orientation Guide,False,True
Onboarding Checklist and Steps,https://policies.sample.com/Onboarding Checklist and Steps,False,True
Employee Offboarding Policy,https://policies.sample.com/Employee Offboarding Policy,True,False
Exit Process and Final Pay Guide,https://policies.sample.com/Exit Process and Final Pay Guide,False,True
Terminations and Transitions Procedures,https://policies.sample.com/Terminations and Transitions Procedures,False,True
Background Check Policy,https://policies.sample.com/Background Check Policy,True,False
Pre Employment Screening Guide,https://policies.sample.com/Pre Employment Screening Guide,False,True
Background Verification Standards,https://policies.sample.com/Background Verification Standards,False,True
Training and Development Policy,https://policies.sample.com/Training and Development Policy,True,False
Learning and Skills Development Guide,https://policies.sample.com/Learning and Skills Development Guide,False,True
Mandatory Training Requirements,https://policies.sample.com/Mandatory Training Requirements,False,True
Travel and Entertainment Policy,https://policies.sample.com/Travel and Entertainment Policy,True,False
Entertainment Expense Rules,https://policies.sample.com/Entertainment Expense Rules,False,True
Travel Per Diem and Limits Guide,https://policies.sample.com/Travel Per Diem and Limits Guide,False,True
Vehicle Use Policy,https://policies.sample.com/Vehicle Use Policy,True,False
Company Vehicle Rules,https://policies.sample.com/Company Vehicle Rules,False,True
Driving on Company Business Guide,https://policies.sample.com/Driving on Company Business Guide,False,True
Parking Policy,https://policies.sample.com/Parking Policy,True,False
Parking Assignment and Fees Guide,https://policies.sample.com/Parking Assignment and Fees Guide,False,True
Parking Conduct and Safety Rules,https://policies.sample.com/Parking Conduct and Safety Rules,False,True
Social Media Policy,https://policies.sample.com/Social Media Policy,True,False
Using Social Platforms Responsibly,https://policies.sample.com/Using Social Platforms Responsibly,False,True
Company Representation Online Guide,https://policies.sample.com/Company Representation Online Guide,False,True
Acceptable Use of Technology Policy,https://policies.sample.com/Acceptable Use of Technology Policy,True,False
Technology Acceptable Use Rules,https://policies.sample.com/Technology Acceptable Use Rules,False,True
Computer and Network Use Guidelines,https://policies.sample.com/Computer and Network Use Guidelines,False,True
Password Management Policy,https://policies.sample.com/Password Management Policy,True,False
Creating and Storing Strong Passwords,https://policies.sample.com/Creating and Storing Strong Passwords,False,True
Password Rotation and MFA Guide,https://policies.sample.com/Password Rotation and MFA Guide,False,True
Bring Your Own Device BYOD Policy,https://policies.sample.com/Bring Your Own Device BYOD Policy,True,False
BYOD Security and Support Guide,https://policies.sample.com/BYOD Security and Support Guide,False,True
Using Personal Devices for Work,https://policies.sample.com/Using Personal Devices for Work,False,True
Remote Access and VPN Policy,https://policies.sample.com/Remote Access and VPN Policy,True,False
VPN Usage and Setup Guide,https://policies.sample.com/VPN Usage and Setup Guide,False,True
Secure Remote Access Standards,https://policies.sample.com/Secure Remote Access Standards,False,True
Email and Communication Policy,https://policies.sample.com/Email and Communication Policy,True,False
Using Email and Chat Responsibly,https://policies.sample.com/Using Email and Chat Responsibly,False,True
Email Retention and Etiquette Guide,https://policies.sample.com/Email Retention and Etiquette Guide,False,True
Information Security Policy,https://policies.sample.com/Information Security Policy,True,False
Security Responsibilities and Controls,https://policies.sample.com/Security Responsibilities and Controls,False,True
Protecting Systems and Data Guide,https://policies.sample.com/Protecting Systems and Data Guide,False,True
Data Classification and Handling Policy,https://policies.sample.com/Data Classification and Handling Policy,True,False
Handling Confidential and Restricted Data,https://policies.sample.com/Handling Confidential and Restricted Data,False,True
Labeling and Protecting Data Guide,https://policies.sample.com/Labeling and Protecting Data Guide,False,True
Data Privacy Policy,https://policies.sample.com/Data Privacy Policy,True,False
Privacy Principles and Practices,https://policies.sample.com/Privacy Principles and Practices,False,True
Personal Data Handling Standards,https://policies.sample.com/Personal Data Handling Standards,False,True
Data Retention and Records Management Policy,https://policies.sample.com/Data Retention and Records Management Policy,True,False
How Long to Keep Records Guide,https://policies.sample.com/How Long to Keep Records Guide,False,True
Records Storage and Disposal Rules,https://policies.sample.com/Records Storage and Disposal Rules,False,True
Secure Software Development Policy,https://policies.sample.com/Secure Software Development Policy,True,False
SSDLC Guidelines and Checklists,https://policies.sample.com/SSDLC Guidelines and Checklists,False,True
Secure Coding and Review Standards,https://policies.sample.com/Secure Coding and Review Standards,False,True
Change Management Policy,https://policies.sample.com/Change Management Policy,True,False
Change Control Process Guide,https://policies.sample.com/Change Control Process Guide,False,True
Request and Approve Changes Procedures,https://policies.sample.com/Request and Approve Changes Procedures,False,True
Patch Management Policy,https://policies.sample.com/Patch Management Policy,True,False
Patching Schedule and Standards,https://policies.sample.com/Patching Schedule and Standards,False,True
Testing and Deploying Patches Guide,https://policies.sample.com/Testing and Deploying Patches Guide,False,True
Vulnerability Management Policy,https://policies.sample.com/Vulnerability Management Policy,True,False
Scanning and Remediation Standards,https://policies.sample.com/Scanning and Remediation Standards,False,True
Vulnerability Triage and SLAs Guide,https://policies.sample.com/Vulnerability Triage and SLAs Guide,False,True
Incident Response Policy,https://policies.sample.com/Incident Response Policy,True,False
Security Incident Reporting Guide,https://policies.sample.com/Security Incident Reporting Guide,False,True
Containment and Recovery Procedures,https://policies.sample.com/Containment and Recovery Procedures,False,True
Business Continuity and Disaster Recovery Policy,https://policies.sample.com/Business Continuity and Disaster Recovery Policy,True,False
BCDR Planning and Testing Guide,https://policies.sample.com/BCDR Planning and Testing Guide,False,True
Continuity and DR Playbook,https://policies.sample.com/Continuity and DR Playbook,False,True
Vendor and Third Party Risk Management Policy,https://policies.sample.com/Vendor and Third Party Risk Management Policy,True,False
Third Party Due Diligence Guide,https://policies.sample.com/Third Party Due Diligence Guide,False,True
Managing Supplier Risks Standards,https://policies.sample.com/Managing Supplier Risks Standards,False,True
Open Source Software Usage Policy,https://policies.sample.com/Open Source Software Usage Policy,True,False
Using OSS Safely and Legally,https://policies.sample.com/Using OSS Safely and Legally,False,True
Open Source Review and Approval Guide,https://policies.sample.com/Open Source Review and Approval Guide,False,True
Cloud Services Usage Policy,https://policies.sample.com/Cloud Services Usage Policy,True,False
Cloud Service Selection Guidelines,https://policies.sample.com/Cloud Service Selection Guidelines,False,True
Using SaaS PaaS and IaaS Responsibly,https://policies.sample.com/Using SaaS PaaS and IaaS Responsibly,False,True
Encryption Standards Policy,https://policies.sample.com/Encryption Standards Policy,True,False
Data Encryption at Rest and In Transit,https://policies.sample.com/Data Encryption at Rest and In Transit,False,True
Cryptographic Key Usage Guide,https://policies.sample.com/Cryptographic Key Usage Guide,False,True
Access Control Policy,https://policies.sample.com/Access Control Policy,True,False
User Access Provisioning Guide,https://policies.sample.com/User Access Provisioning Guide,False,True
Least Privilege and Reviews Standards,https://policies.sample.com/Least Privilege and Reviews Standards,False,True
Physical Security and Badge Access Policy,https://policies.sample.com/Physical Security and Badge Access Policy,True,False
Badge Issuance and Return Guide,https://policies.sample.com/Badge Issuance and Return Guide,False,True
Securing Offices and Facilities,https://policies.sample.com/Securing Offices and Facilities,False,True
Visitor Management Policy,https://policies.sample.com/Visitor Management Policy,True,False
Visitor Check In and Escort Rules,https://policies.sample.com/Visitor Check In and Escort Rules,False,True
Visitor Badges and Access Guidelines,https://policies.sample.com/Visitor Badges and Access Guidelines,False,True
Facilities and Office Safety Policy,https://policies.sample.com/Facilities and Office Safety Policy,True,False
Office Safety and Maintenance Guide,https://policies.sample.com/Office Safety and Maintenance Guide,False,True
Reporting Facilities Issues Procedure,https://policies.sample.com/Reporting Facilities Issues Procedure,False,True
Fire Safety and Evacuation Policy,https://policies.sample.com/Fire Safety and Evacuation Policy,True,False
Evacuation Drills and Routes Guide,https://policies.sample.com/Evacuation Drills and Routes Guide,False,True
Fire Prevention and Response Steps,https://policies.sample.com/Fire Prevention and Response Steps,False,True
Ergonomics and Workplace Health Policy,https://policies.sample.com/Ergonomics and Workplace Health Policy,True,False
Healthy Workstation Setup Guide,https://policies.sample.com/Healthy Workstation Setup Guide,False,True
Ergonomic Assessments and Tips,https://policies.sample.com/Ergonomic Assessments and Tips,False,True
Environmental Sustainability Policy,https://policies.sample.com/Environmental Sustainability Policy,True,False
Sustainability Goals and Practices,https://policies.sample.com/Sustainability Goals and Practices,False,True
Green Office Initiatives Guide,https://policies.sample.com/Green Office Initiatives Guide,False,True
Recycling and Waste Reduction Policy,https://policies.sample.com/Recycling and Waste Reduction Policy,True,False
Waste Sorting and Disposal Guide,https://policies.sample.com/Waste Sorting and Disposal Guide,False,True
Paperless Office and Recycling Tips,https://policies.sample.com/Paperless Office and Recycling Tips,False,True
Pandemic Response and Preparedness Policy,https://policies.sample.com/Pandemic Response and Preparedness Policy,True,False
Health Emergency Response Guide,https://policies.sample.com/Health Emergency Response Guide,False,True
Infectious Disease Preparedness Steps,https://policies.sample.com/Infectious Disease Preparedness Steps,False,True
Return to Office Policy,https://policies.sample.com/Return to Office Policy,True,False
Return to Workplace Guidelines,https://policies.sample.com/Return to Workplace Guidelines,False,True
Office Reintegration and Safety Guide,https://policies.sample.com/Office Reintegration and Safety Guide,False,True
Flexible Scheduling Policy,https://policies.sample.com/Flexible Scheduling Policy,True,False
Flexible Hours and Core Time Guide,https://policies.sample.com/Flexible Hours and Core Time Guide,False,True
Alternative Work Schedule Standards,https://policies.sample.com/Alternative Work Schedule Standards,False,True
Hot Desking and Space Reservation Policy,https://policies.sample.com/Hot Desking and Space Reservation Policy,True,False
Desk Booking Rules and Etiquette,https://policies.sample.com/Desk Booking Rules and Etiquette,False,True
Shared Workspace Guidelines,https://policies.sample.com/Shared Workspace Guidelines,False,True
Meeting Etiquette and Conduct Policy,https://policies.sample.com/Meeting Etiquette and Conduct Policy,True,False
Effective Meeting Guidelines,https://policies.sample.com/Effective Meeting Guidelines,False,True
Scheduling and Running Meetings Guide,https://policies.sample.com/Scheduling and Running Meetings Guide,False,True
Video Conferencing and Recording Policy,https://policies.sample.com/Video Conferencing and Recording Policy,True,False
Recording Meetings Do and Donts,https://policies.sample.com/Recording Meetings Do and Donts,False,True
Virtual Meeting Best Practices,https://policies.sample.com/Virtual Meeting Best Practices,False,True
Document Signing and E Signature Policy,https://policies.sample.com/Document Signing and E Signature Policy,True,False
Electronic Signature Usage Guide,https://policies.sample.com/Electronic Signature Usage Guide,False,True
Digital Document Approval Standards,https://policies.sample.com/Digital Document Approval Standards,False,True
Media and Public Relations Policy,https://policies.sample.com/Media and Public Relations Policy,True,False
Speaking to the Media Guide,https://policies.sample.com/Speaking to the Media Guide,False,True
Press and Public Statements Rules,https://policies.sample.com/Press and Public Statements Rules,False,True
Intellectual Property Protection Policy,https://policies.sample.com/Intellectual Property Protection Policy,True,False
Protecting IP and Trade Secrets,https://policies.sample.com/Protecting IP and Trade Secrets,False,True
Inventions and Copyright Guidelines,https://policies.sample.com/Inventions and Copyright Guidelines,False,True
Records Retention Policy,https://policies.sample.com/Records Retention Policy,True,False
Records Retention Schedules Guide,https://policies.sample.com/Records Retention Schedules Guide,False,True
Archiving and Disposal Procedures,https://policies.sample.com/Archiving and Disposal Procedures,False,True
Insider Trading and Confidential Information Policy,https://policies.sample.com/Insider Trading and Confidential Information Policy,True,False
Avoiding Insider Trading Guide,https://policies.sample.com/Avoiding Insider Trading Guide,False,True
Handling Material Nonpublic Information,https://policies.sample.com/Handling Material Nonpublic Information,False,True
Export Control and Sanctions Compliance Policy,https://policies.sample.com/Export Control and Sanctions Compliance Policy,True,False
Sanctions Screening and Approvals Guide,https://policies.sample.com/Sanctions Screening and Approvals Guide,False,True
Export Control Classification Procedures,https://policies.sample.com/Export Control Classification Procedures,False,True
Anti Money Laundering Policy,https://policies.sample.com/Anti Money Laundering Policy,True,False
AML Screening and Reporting Guide,https://policies.sample.com/AML Screening and Reporting Guide,False,True
Detecting and Preventing Money Laundering,https://policies.sample.com/Detecting and Preventing Money Laundering,False,True
Procurement and Purchasing Policy,https://policies.sample.com/Procurement and Purchasing Policy,True,False
Buying Goods and Services Guide,https://policies.sample.com/Buying Goods and Services Guide,False,True
Purchase Approval and PO Process,https://policies.sample.com/Purchase Approval and PO Process,False,True
Contract Review and Approval Policy,https://policies.sample.com/Contract Review and Approval Policy,True,False
Contract Lifecycle and Sign Off Guide,https://policies.sample.com/Contract Lifecycle and Sign Off Guide,False,True
Legal Review Requirements for Contracts,https://policies.sample.com/Legal Review Requirements for Contracts,False,True
Signature Authority Policy,https://policies.sample.com/Signature Authority Policy,True,False
Who Can Sign on Behalf of Company,https://policies.sample.com/Who Can Sign on Behalf of Company,False,True
Approval Limits and Delegation Guide,https://policies.sample.com/Approval Limits and Delegation Guide,False,True
Corporate Communications Policy,https://policies.sample.com/Corporate Communications Policy,True,False
Internal and External Comms Guide,https://policies.sample.com/Internal and External Comms Guide,False,True
Messaging and Brand Voice Standards,https://policies.sample.com/Messaging and Brand Voice Standards,False,True
Health Benefits Eligibility Policy,https://policies.sample.com/Health Benefits Eligibility Policy,True,False
Who Qualifies for Benefits Guide,https://policies.sample.com/Who Qualifies for Benefits Guide,False,True
Enrolling in Benefits Procedures,https://policies.sample.com/Enrolling in Benefits Procedures,False,True
Retirement Savings Plan Policy,https://policies.sample.com/Retirement Savings Plan Policy,True,False
401k Enrollment and Match Guide,https://policies.sample.com/401k Enrollment and Match Guide,False,True
Retirement Plan Eligibility and Vesting,https://policies.sample.com/Retirement Plan Eligibility and Vesting,False,True
Payroll and Salary Administration Policy,https://policies.sample.com/Payroll and Salary Administration Policy,True,False
Payroll Processing and Deadlines Guide,https://policies.sample.com/Payroll Processing and Deadlines Guide,False,True
Compensation Reviews and Adjustments,https://policies.sample.com/Compensation Reviews and Adjustments,False,True
Meal and Rest Breaks Policy,https://policies.sample.com/Meal and Rest Breaks Policy,True,False
Break Schedules and Compliance Guide,https://policies.sample.com/Break Schedules and Compliance Guide,False,True
Taking Meal and Rest Periods Rules,https://policies.sample.com/Taking Meal and Rest Periods Rules,False,True
Workplace Monitoring and Privacy Policy,https://policies.sample.com/Workplace Monitoring and Privacy Policy,True,False
Employee Monitoring Practices Guide,https://policies.sample.com/Employee Monitoring Practices Guide,False,True
Workplace Privacy Rights Overview,https://policies.sample.com/Workplace Privacy Rights Overview,False,True
Customer Data Protection Policy,https://policies.sample.com/Customer Data Protection Policy,True,False
Protecting Customer Information Guide,https://policies.sample.com/Protecting Customer Information Guide,False,True
Customer Data Handling Standards,https://policies.sample.com/Customer Data Handling Standards,False,True
Data Subject Rights and Requests Policy,https://policies.sample.com/Data Subject Rights and Requests Policy,True,False
Responding to DSARs Guide,https://policies.sample.com/Responding to DSARs Guide,False,True
Handling Access and Deletion Requests,https://policies.sample.com/Handling Access and Deletion Requests,False,True
Marketing and Email Consent Policy,https://policies.sample.com/Marketing and Email Consent Policy,True,False
Obtaining and Managing Consent Guide,https://policies.sample.com/Obtaining and Managing Consent Guide,False,True
Email Marketing Compliance Standards,https://policies.sample.com/Email Marketing Compliance Standards,False,True
Cookie and Tracking Technologies Policy,https://policies.sample.com/Cookie and Tracking Technologies Policy,True,False
Cookie Notice and Preferences Guide,https://policies.sample.com/Cookie Notice and Preferences Guide,False,True
Tracking Technologies and Consent Rules,https://policies.sample.com/Tracking Technologies and Consent Rules,False,True
Security Awareness Training Policy,https://policies.sample.com/Security Awareness Training Policy,True,False
Mandatory Security Training Guide,https://policies.sample.com/Mandatory Security Training Guide,False,True
Phishing and Awareness Program Overview,https://policies.sample.com/Phishing and Awareness Program Overview,False,True
Key Management and Secrets Handling Policy,https://policies.sample.com/Key Management and Secrets Handling Policy,True,False
Managing Keys and Secrets Guide,https://policies.sample.com/Managing Keys and Secrets Guide,False,True
Secrets Storage and Rotation Standards,https://policies.sample.com/Secrets Storage and Rotation Standards,False,True
Admin Access and Privileged Accounts Policy,https://policies.sample.com/Admin Access and Privileged Accounts Policy,True,False
Privileged Access Management Guide,https://policies.sample.com/Privileged Access Management Guide,False,True
Approving and Reviewing Admin Access,https://policies.sample.com/Approving and Reviewing Admin Access,False,True
Mobile Device Management Policy,https://policies.sample.com/Mobile Device Management Policy,True,False
Company Mobile Devices Usage Guide,https://policies.sample.com/Company Mobile Devices Usage Guide,False,True
MDM Enrollment and Compliance Rules,https://policies.sample.com/MDM Enrollment and Compliance Rules,False,True
Laptop and Asset Management Policy,https://policies.sample.com/Laptop and Asset Management Policy,True,False
Issuing and Returning Equipment Guide,https://policies.sample.com/Issuing and Returning Equipment Guide,False,True
Hardware Inventory and Tracking Rules,https://policies.sample.com/Hardware Inventory and Tracking Rules,False,True
Software Licensing Compliance Policy,https://policies.sample.com/Software Licensing Compliance Policy,True,False
Software Usage and Audits Guide,https://policies.sample.com/Software Usage and Audits Guide,False,True
Managing Licenses and Subscriptions,https://policies.sample.com/Managing Licenses and Subscriptions,False,True
Remote Work Stipend and Equipment Policy,https://policies.sample.com/Remote Work Stipend and Equipment Policy,True,False
Home Office Equipment Guidelines,https://policies.sample.com/Home Office Equipment Guidelines,False,True
Stipend Eligibility and Claims Guide,https://policies.sample.com/Stipend Eligibility and Claims Guide,False,True
Collaboration Tools Usage Policy,https://policies.sample.com/Collaboration Tools Usage Policy,True,False
Using Chat and Collaboration Apps,https://policies.sample.com/Using Chat and Collaboration Apps,False,True
Team Collaboration and Channels Guide,https://policies.sample.com/Team Collaboration and Channels Guide,False,True
Knowledge Management and Documentation Policy,https://policies.sample.com/Knowledge Management and Documentation Policy,True,False
Creating and Maintaining Documentation,https://policies.sample.com/Creating and Maintaining Documentation,False,True
How to Organize Knowledge Bases,https://policies.sample.com/How to Organize Knowledge Bases,False,True
Quality Management Policy,https://policies.sample.com/Quality Management Policy,True,False
Quality Assurance and Control Guide,https://policies.sample.com/Quality Assurance and Control Guide,False,True
Continuous Improvement Standards,https://policies.sample.com/Continuous Improvement Standards,False,True
Risk Management Policy,https://policies.sample.com/Risk Management Policy,True,False
Identifying and Mitigating Risks Guide,https://policies.sample.com/Identifying and Mitigating Risks Guide,False,True
Risk Assessment and Treatment Standards,https://policies.sample.com/Risk Assessment and Treatment Standards,False,True
Audit and Compliance Policy,https://policies.sample.com/Audit and Compliance Policy,True,False
Internal Audit and Controls Guide,https://policies.sample.com/Internal Audit and Controls Guide,False,True
Compliance Monitoring and Reporting,https://policies.sample.com/Compliance Monitoring and Reporting,False,True